run,event_file,tag,points,first,last,minimum,maximum,tail_mean
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Reward / Total reward (max),372,-184.97921752929688,243.62454223632812,-251.09580993652344,275.8507385253906,68.39656644254117
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Reward / Total reward (min),372,-186.48397827148438,243.62454223632812,-251.09580993652344,275.8507385253906,-10.678132959314295
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Reward / Total reward (mean),372,-185.82681274414062,243.62454223632812,-251.09580993652344,275.8507385253906,17.388518256110114
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Episode / Total timesteps (max),372,6464,8086,3822,8999,8227.027027027027
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Episode / Total timesteps (min),372,6440,8086,3822,8999,7876.756756756757
s29-50mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-50mm_attempt002\events.out.tfevents.1785457773.Allenzjx.94332.0,Episode / Total timesteps (mean),372,6446.25732421875,8086,3822,8999,8053.587257179054
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Stats / Inference time (ms),1200,1.4473423957824707,1.441486120223999,1.2360625267028809,2.42659068107605,1.57717853585879
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Stats / Env stepping time (ms),1200,118.34454345703125,116.6368637084961,107.58846282958984,166.04042053222656,120.45854759216309
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Reward / Instantaneous reward (max),1200,0.021396830677986145,0.004590420052409172,-0.004399728495627642,200.04380798339844,1.677832197508542
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Reward / Instantaneous reward (min),1200,0.009291562251746655,-0.010500939562916756,-0.2772543430328369,0.03511979058384895,-0.023348866222659127
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Reward / Instantaneous reward (mean),1200,0.018227221444249153,0.0009527337388135493,-0.02105862833559513,0.1889338493347168,0.005043736776375833
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Loss / Policy loss,1200,-0.012477876618504524,0.006767632905393839,-0.2915951907634735,0.12842771410942078,-0.0023056450272482226
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Loss / Value loss,1200,0.00008496343798469752,0.0000019283154415461468,2.9731850759162626e-7,0.08167219161987305,0.0005249297249363849
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Policy / Standard deviation,1200,0.017971720546483994,0.017452996224164963,0.017452996224164963,0.017971720546483994,0.017487808767085274
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Learning / Learning rate,1200,0.00003950617247028276,0.00008888888987712562,0.0000034683059766393853,0.00019999999494757503,0.00007932403583860529
s29-75mm,runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\events.out.tfevents.1785469867.Allenzjx.173908.0,Stats / Algorithm update time (ms),1200,86.49491882324219,19.469499588012695,15.999317169189453,309.8604736328125,42.83624682426453
