time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward
31.15,0,0.2725098431110382,-0.02333921380341053,-0.046520233154296875,0.32831019163131714,4.0,0.0,0.45987460017204285
31.2,0,0.27319973707199097,-0.02340751141309738,-0.04611765593290329,0.32828131318092346,4.0,0.0,0.46004021167755127
31.25,0,0.27390056848526,-0.023520613089203835,-0.04531288519501686,0.32825517654418945,4.0,0.0,0.4594678282737732
31.3,0,0.2746165990829468,-0.023644771426916122,-0.05501053109765053,0.3282318413257599,4.0,0.0,0.460103303194046
31.349999999999998,0,0.27534615993499756,-0.02377273701131344,-0.054221343249082565,0.3282232880592346,4.0,0.0,0.4595455825328827
31.4,0,0.2760910987854004,-0.02389792911708355,-0.05374053493142128,0.32821229100227356,4.0,0.0,0.45953625440597534
31.45,0,0.27683842182159424,-0.02405056357383728,-0.05496195703744888,0.32820364832878113,4.0,0.0,0.4602028727531433
31.5,0,0.27759355306625366,-0.024208785966038704,-0.05143298581242561,0.32819628715515137,4.0,0.0,0.46072614192962646
31.55,0,0.2783723473548889,-0.024385999888181686,-0.05446438491344452,0.328194260597229,4.0,0.0,0.45963653922080994
31.599999999999998,0,0.27899160981178284,-0.02432468719780445,-0.04635719582438469,0.3281204104423523,4.0,0.0,0.46601614356040955
31.65,0,0.27956533432006836,-0.024205124005675316,-0.0436897948384285,0.32802945375442505,4.0,0.0,0.46340009570121765
31.7,0,0.2801692485809326,-0.024161366745829582,-0.03885990381240845,0.3279536962509155,4.0,0.0,0.46070635318756104
31.75,0,0.2807981073856354,-0.02414742484688759,-0.045982763171195984,0.3278962969779968,4.0,0.0,0.4616571068763733
31.8,0,0.2814454436302185,-0.02415020577609539,-0.04694490507245064,0.3278547525405884,4.0,0.0,0.4619424045085907
31.849999999999998,0,0.28209710121154785,-0.024220554158091545,-0.046244096010923386,0.32783111929893494,4.0,0.0,0.461152046918869
31.9,0,0.28277793526649475,-0.0242749135941267,-0.041449081152677536,0.3278126120567322,4.0,0.0,0.4569563865661621
31.95,0,0.2834843695163727,-0.024371450766921043,-0.04551481083035469,0.3278042674064636,4.0,0.0,0.45890161395072937
32.0,0,0.284178763628006,-0.024436132982373238,-0.040979888290166855,0.3277897834777832,4.0,0.0,0.45778772234916687
32.05,0,0.2848920226097107,-0.024466807022690773,-0.04770660400390625,0.3278019428253174,4.0,0.0,0.45908787846565247
32.1,0,0.2856128513813019,-0.0244899932295084,-0.03648032248020172,0.32780584692955017,4.0,0.0,0.4537423849105835
32.15,0,0.2863551080226898,-0.024568170309066772,-0.05025150254368782,0.3278290629386902,4.0,0.0,0.4581313729286194
32.2,0,0.28711584210395813,-0.024642648175358772,-0.04968545213341713,0.3278467059135437,4.0,0.0,0.45866766571998596
32.25,0,0.2878779172897339,-0.024480722844600677,-0.039206236600875854,0.32789090275764465,4.0,0.0,0.45565173029899597
32.3,0,0.2886677384376526,-0.024116648361086845,-0.040223170071840286,0.3279653489589691,4.0,0.0,0.45645081996917725
32.35,0,0.28944674134254456,-0.023774202913045883,-0.04112720862030983,0.3280273675918579,4.0,0.0,0.45648106932640076
32.4,0,0.29024314880371094,-0.023434340953826904,-0.04103546962141991,0.32809239625930786,4.0,0.0,0.45635542273521423
32.45,0,0.2910580337047577,-0.023092718794941902,-0.04128062352538109,0.32816222310066223,4.0,0.0,0.4562986195087433
32.5,0,0.29185840487480164,-0.022810891270637512,-0.04140952229499817,0.3282204866409302,4.0,0.0,0.4577797055244446
32.55,0,0.2926567494869232,-0.022535886615514755,-0.04237767308950424,0.32827240228652954,4.0,0.0,0.4574016034603119
32.6,0,0.2934716045856476,-0.022265128791332245,-0.044265493750572205,0.32833099365234375,4.0,0.0,0.45757442712783813
32.65,0,0.2942996621131897,-0.02202673815190792,-0.04803944751620293,0.3283856213092804,4.0,0.0,0.46053609251976013
32.7,0,0.29490822553634644,-0.022069985046982765,-0.05101552978157997,0.32830995321273804,4.0,0.0,0.4616011679172516
32.75,0,0.295559823513031,-0.022187821567058563,-0.054593246430158615,0.32825833559036255,4.0,0.0,0.4619690775871277
32.8,0,0.29623639583587646,-0.022356251254677773,-0.05331943929195404,0.3282168209552765,4.0,0.0,0.4603820741176605
32.85,0,0.29693901538848877,-0.022539330646395683,-0.05348680913448334,0.3281897306442261,4.0,0.0,0.46134161949157715
32.9,0,0.29765525460243225,-0.02275577187538147,-0.05694570019841194,0.3281717002391815,4.0,0.0,0.46120092272758484
32.95,0,0.2983749210834503,-0.0229425560683012,-0.0566120520234108,0.32815349102020264,4.0,0.0,0.4609179198741913
33.0,0,0.29910171031951904,-0.023176146671175957,-0.05874573066830635,0.328143835067749,4.0,0.0,0.46091294288635254
33.05,0,0.2998461425304413,-0.02338893711566925,-0.054608363658189774,0.29852914810180664,4.0,0.0,0.45965248346328735
33.1,0,0.30060070753097534,-0.023629356175661087,-0.05677114054560661,0.32813847064971924,4.0,0.0,0.4600278437137604
33.15,0,0.30136990547180176,-0.023854250088334084,-0.050131965428590775,0.32813960313796997,4.0,0.0,0.45690086483955383
33.2,0,0.3021646738052368,-0.024108707904815674,-0.058260008692741394,0.3281482458114624,4.0,0.0,0.46025365591049194
33.25,0,0.3029519319534302,-0.024313367903232574,-0.05106194317340851,0.2983720004558563,4.0,0.0,0.45704275369644165
33.3,0,0.30357980728149414,-0.024303408339619637,-0.048507265746593475,0.3280852437019348,4.0,0.0,0.4638913571834564
33.35,0,0.3041566014289856,-0.024226125329732895,-0.04457119107246399,0.3279879093170166,4.0,0.0,0.46392133831977844
33.4,0,0.30474042892456055,-0.024196511134505272,-0.05404789373278618,0.3279035687446594,4.0,0.0,0.4653698205947876
33.45,0,0.3053741455078125,-0.024188902229070663,-0.0494050458073616,0.32785147428512573,4.0,0.0,0.46283289790153503
33.5,0,0.3060303330421448,-0.02423465996980667,-0.04638808220624924,0.32781103253364563,4.0,0.0,0.46123242378234863
33.55,0,0.3066977560520172,-0.0243007093667984,-0.04558771848678589,0.3277794122695923,4.0,0.0,0.4603908956050873
33.6,0,0.3073869049549103,-0.024385688826441765,-0.0474252849817276,0.32775989174842834,4.0,0.0,0.46049365401268005
33.65,0,0.30808407068252563,-0.02446582540869713,-0.04582713544368744,0.3277391493320465,4.0,0.0,0.4594346582889557
33.7,0,0.30880141258239746,-0.024567944929003716,-0.04830940067768097,0.3277289569377899,4.0,0.0,0.4598086178302765
33.75,0,0.30951356887817383,-0.024511463940143585,-0.03589557856321335,0.32773712277412415,4.0,0.0,0.4571903645992279
